date,time(local time),altitude (m),longitude,latitude,tilt (deg),roll (deg),compass (deg),gyro-x (deg/s),gyro-y (deg/sec),gyro-z (deg/s),pressure (hPa),speed (m/s),acceleration (m/s)
21/11/2018,57:24.0,62.6000061,-75.69669968,45.38399644,0,0,180,17.808695,-10.573913,-25.6,0,0.298375,
21/11/2018,57:25.0,63.3999939,-75.69669205,45.38399644,2.173,-3.6957,101.2651,4.869565,14.052174,-20.173914,988.2397,0.190343,-0.108032
21/11/2018,57:26.0,57.19999695,-75.69666917,45.38395448,0.8392,-1.4686,101.7208,8.904347,11.547826,-5.634783,988.2757,0.072022,-0.118321
21/11/2018,57:28.0,58.30000305,-75.69666917,45.38395448,1.5241,-1.5241,101.0849,6.330435,-3.130435,-18.991304,988.2469,0.102888,0.015433
21/11/2018,57:29.0,59.1000061,-75.69666917,45.38395448,3.4662,-1.9489,101.627,31.026087,8.139131,-4.382609,988.2891,0.08231,-0.020578
21/11/2018,57:30.0,59.1000061,-75.69666917,45.38395448,-0.2142,-3.4293,101.489,33.391304,-3.130435,-5.634783,988.2891,0.0463,-0.036011
21/11/2018,57:31.0,59.19999695,-75.69666917,45.38395448,-0.8708,-1.9597,101.5806,3.617391,-11.826087,-18.226088,988.2981,0.08231,0.036011
21/11/2018,57:32.0,59,-75.69666917,45.38396211,1.9262,-3.8546,101.4465,32.069565,-5.147826,-14.817391,988.2971,0.005144,-0.077166
21/11/2018,57:33.0,59.19999695,-75.69666917,45.38396211,2.5498,-3.4005,100.5239,34.782608,-5.078261,-2.713043,988.2971,0.030866,0.025722
21/11/2018,57:34.0,59.30000305,-75.69666917,45.38396211,2.1915,-2.8494,101.4465,16.486956,-0.13913,4.104348,988.2971,0.015433,-0.015433
21/11/2018,57:35.0,59.3999939,-75.69666917,45.38396211,1.8656,-2.6953,101.853,27.826086,12.173913,-11.408695,988.2971,0.030866,0.015433
21/11/2018,57:36.0,59.5,-75.69666917,45.38396211,0.4415,-3.7552,101.3099,11.130435,1.321739,-16.278261,988.2971,0.005144,-0.025722
21/11/2018,57:37.0,59.3999939,-75.69666917,45.38396211,0.4404,-2.2025,101.4465,33.808697,-17.460869,-11.060869,988.2971,0.005144,0
21/11/2018,57:38.0,59.19999695,-75.69666917,45.38396211,1.8087,-2.94,101.3099,29.913044,5.565217,-16.347826,988.2971,0.010289,0.005144
21/11/2018,57:39.0,59.1000061,-75.69666917,45.38396211,1.2913,-2.1524,101.3099,11.2,4.521739,-27.826086,988.2791,0.010289,0
21/11/2018,57:40.0,58.8999939,-75.69666917,45.38396211,0.8873,-2.6627,101.3551,22.608696,8.486957,-16,988.2791,0.005144,-0.005144
21/11/2018,57:41.0,58.80000305,-75.69666917,45.38396211,-1.101,-1.9822,101.2651,4.8,-8.069565,-15.443479,988.3134,0,-0.005144
